title,authors,category,description,link,emotion
"Motivation for Reading: Individual, Home, Textual, and Classroom Perspectives","Allan Wigfield, John T. Guthrie",Education,"Based on research from the National Reading Research Center (NRRC) at the Universities of Georgia and Maryland, this issue presents the contributors' sythesized work on reading motivation and engagement. Articles are devoted to the following topics: * the general motivation constructs related to reading; * home influences on reading motivation; * readers' responses to different types of text; * influences of classroom contexts; and * types of assessment on children's motivation.",https://play.google.com/store/books/details?id=VL5dAgAAQBAJ&source=gbs_api,hopeful
"Motivation, Volition, and Engagement in Online Distance Learning","Ucar, Hasan, Kumtepe, Alper Tolga",Education,"Motivation is an important factor in and for all education levels. However, as learners in online distance education milieus are away from both teachers, other learners, and the learning environments physically, this concept becomes more important for online education. Motivating learners in distance education and keeping their motivation alive throughout the learning process is an issue that should be emphasized and taken care of for teachers and instructional designers. At this point, although there are many approaches, models, and theories regarding enhancing and sustaining motivation and engagement in the education processes, it is seen that there is not enough work and/or effective and efficient strategies that can be applied in online distance learning environments. Motivation, Volition, and Engagement in Online Distance Learning evaluates motivational obstacles in online distance education both theoretically and practically, identifies the strengths and weaknesses of the online education environments regarding motivation, and provides actionable motivational and volitional strategies for online educators. This book offers coverage of topics such as learning theories, motivation research, and synchronous online learning environments, making it a valuable resource for researchers, professionals, decision makers, institutions in all education levels, academicians, pre-service teachers, and most importantly, online educators from various disciplines and learners from all educational landscapes.",https://play.google.com/store/books/details?id=kro-EAAAQBAJ&source=gbs_api,hopeful
e-Mental Health,"Davor Mucic, Donald M. Hilty",Medical,"This book describes the use of telecommunication technologies to provide mental health services to individuals in communities or locations that are underserviced, typically as a result of their geographic isolation or due to cultural and/or linguistic barriers. The potential of the e-Mental Health approach is demonstrated in various mental health settings by describing concrete clinical examples and applications involving novel strategies for employing technology. Further, the book presents an approach to cooperation on a global level based on the exchange of expertise and knowledge across national boundaries. The target audience includes mental health workers (clinicians and staff members), medical and nursing students, academic researchers, technology professionals and health care policy makers.",http://books.google.co.in/books?id=X4NwrgEACAAJ&dq=mental+health&hl=&source=gbs_api,depressed
Innovations in Global Mental Health,Samuel O. Okpaku,Medical,"Over the course of the last decade, political and mental entities at large have embraced global mental health: the idea that psychiatric health is vital to improved quality of life. Physicians globally have implemented guidelines recommended by the National Institute of Mental Health (NIMH) in 2007, thereby breaking down barriers to care and improving quality of life in areas where these practices have been implemented. Programs for training and education have expanded as a result. Clinicians benefit more from both local resources in some regions as well as in international collaboration and technological advancements. Even amidst all of these positive outcomes, clinicians still face some stumbling blocks. With worldwide statistics estimating that 450 million people struggle with mental, neuropsychiatric, and neurological disorders—25 percent of the world’s non-communicable disease burden—rising to these challenges prove to be no small feat, even in wealthy Western nations. Various articles and books have been published on global mental health, but few of them thoroughly cover the clinical, research, innovative, and social implications as they pertain to psychiatry; often, only one of these aspects is covered. A comprehensive text that can keep pace with the rapidly evolving literature grows more and more valuable each day as clinicians struggle to piece together the changes around the world that leave open the possibility for improved outcomes in care. This book seeks to boldly rectify this situation by identifying innovative models of service delivery, training, education, research funding, and payment systems that have proven to be exemplary in implementation and scalability or have potential for scalability. Chapters describe specific barriers and challenges, illuminating effective strategies for improved outcomes. This text is the first peer-reviewed resource to gather prestigious physicians in global mental health from around the world and disseminate their expertise in the medical community at large in a format that is updateable, making it a truly cutting-edge resource in a world constantly changed by medical, scientific, and technological advances. Innovations in Global Mental Health is the ultimate resource for psychiatrists, psychologists, primary care physicians, hospitalists, policy makers, and all medical professionals at the forefront of global mental health and its implications for the future.",https://play.google.com/store/books/details?id=Pu7aEAAAQBAJ&source=gbs_api,depressed
Handbook of the Sociology of Mental Health,"Carol S. Aneshensel, Jo C. Phelan",Social Science,"Within American society, mental disorder is commonly understood as an attribute of the individual. This intuitive understanding reflects the experiential reality that it is individuals who are beset by feelings of fear and despair, confused by intrusive or jumbled thoughts, addicted to drugs, and so forth. In this regard, everyday thinking is consistent with contem porary psychiatry, which also individualizes pathology, increasingly in biological terms. The contributors to this handbook collectively articulate an alternative vision, one in which the individual experience of psychopathology is inextricably embedded within its social context. This theme—the interface between society and the inward experience of its constituents—is developed here in a more encompassing manner than has been previously undertaken. Although this perspective may seem self-evident, especially in a handbook on the sociology of mental health, the widespread adoption of a medical model of aberrant states, especially by sociologists, has, we submit, obscured the relevance of social organi zation and processes.",https://play.google.com/store/books/details?id=ODbaBwAAQBAJ&source=gbs_api,depressed
"Wellbeing, Recovery and Mental Health","Mike Slade, Lindsay Oades, Aaron Jarden",Medical,"This book brings together current research on recovery and wellbeing, to inform mental health systems and wider community development.",http://books.google.co.in/books?id=7YXuDQAAQBAJ&dq=mental+health&hl=&source=gbs_api,depressed
Global Mental Health,"Vikram Patel, Harry Minas, Alex Cohen, Martin Prince",Medical,"This is the definitive textbook on global mental health, an emerging priority discipline within global health, which places priority on improving mental health and achieving equity in mental health for all people worldwide.",http://books.google.co.in/books?id=2VwGAQAAQBAJ&dq=mental+health&hl=&source=gbs_api,depressed
SHHH! DON’T TALK ABOUT MENTAL HEALTH,Arjun Gupta,Psychology,"In the 19th year of his life, Yashasvi tried to end his life. Follow the journey of Yashasvi and millions of other people who are tormented by their own minds. This is not a self-help book. Mental health is no longer just about helping yourself. It is a movement against an invisible crisis that breeds inside our minds. A crisis that makes you question the voice in your head. Yes, the same voice that is reading this out to you. True stories, research, statistics and facts. This book will convince you why mental health cannot be just about self-help anymore, and why people like Yashasvi need our help.",https://play.google.com/store/books/details?id=kGqhDwAAQBAJ&source=gbs_api,depressed
Mental Health Economics,Denise Razzouk,Medical,"The main objective of this work is to provide a book with high quality content that becomes a reference and support for graduate course (Mental Health, Public Health and Epidemiology) and for research in the domain of health economics applied to mental health. Also this book might be useful for policymakers on formulating mental health policies. Key messages of this book are based on: a) mental illness represent a huge cost for society and for health care; b) health economics applied to mental health could help in the optimization of resource allocation for mental health care and for better decision making in terms of balancing costs and benefits; c) interventions and treatment should be also chosen in general medical practice and in public decision-policy according to cost-effectiveness, burden of disease and equity principles; d) quality of care is related with better outcomes, higher quality of life for clients, and with lower costs for society and health system (best value for money); e) it is possible to decrease the burden of mental disorders with cost-effective treatments. The book is divided in four main topics: 1. Introduction to Health Economics applied to Mental Health – this section is an overview of basic principles, concepts and methods used in Economics and Health Economics to enable students to make critical appraisal of Health Economics texts and also to design research studies in this topic. 2. Health Economics applied to the evaluation of quality and costs of Mental Health Services – this section presents results of Brazilian studies on the costs of mental health care (hospital, outpatient care, residential care, informal care), methods on the measurement of costs and it discusses issues related with public policies decisions and quality of mental health car in the low and middle income countries context. There is also an overview of quality indicators of mental health care and instruments to evaluate mental health services and costs.3. Health Economics applied to evaluate treatment of mental disorders - This section presents a review of cost-effectiveness of pharmacological treatments and other interventions applied for treating the most burdensome mental disorders such as depressive and anxiety disorders, bipolar disorders, psychosis, alcohol and drug disorders, dementia, and hyper attention deficit disorders. 4. Health Economics, burden and indirect costs of mental disorders - This section highlights the social and economic burden caused by mental illness under societal perspective focusing on stigma, unemployment, indirect costs in the workplace (absenteeism and presenteeism), the relationship between poverty and mental disorders, global health and social determinants of mental health and on the costs of mental disorders (depression, anxiety, psychosis, alcohol and drug disorders). We present some instruments to measure indirect costs of mental disorders.",https://play.google.com/store/books/details?id=eMEyDwAAQBAJ&source=gbs_api,depressed
A Handbook for the Study of Mental Health,"Teresa L. Scheid, Tony N. Brown",Medical,"The second edition of A Handbook for the Study of Mental Health provides a comprehensive review of the sociology of mental health. Chapters by leading scholars and researchers present an overview of historical, social and institutional frameworks. Part I examines social factors that shape psychiatric diagnosis and the measurement of mental health and illness, theories that explain the definition and treatment of mental disorders and cultural variability. Part II investigates effects of social context, considering class, gender, race and age, and the critical role played by stress, marriage, work and social support. Part III focuses on the organization, delivery and evaluation of mental health services, including the criminalization of mental illness, the challenges posed by HIV, and the importance of stigma. This is a key research reference source that will be useful to both undergraduates and graduate students studying mental health and illness from any number of disciplines.",http://books.google.co.in/books?id=IxQDvOodXeAC&dq=mental+health&hl=&source=gbs_api,depressed
The Social Determinants of Mental Health,"Michael T. Compton, Ruth S. Shim",Medical,"The Social Determinants of Mental Health aims to fill the gap that exists in the psychiatric, scholarly, and policy-related literature on the social determinants of mental health: those factors stemming from where we learn, play, live, work, and age that impact our overall mental health and well-being. The editors and an impressive roster of chapter authors from diverse scholarly backgrounds provide detailed information on topics such as discrimination and social exclusion; adverse early life experiences; poor education; unemployment, underemployment, and job insecurity; income inequality, poverty, and neighborhood deprivation; food insecurity; poor housing quality and housing instability; adverse features of the built environment; and poor access to mental health care. This thought-provoking book offers many beneficial features for clinicians and public health professionals: Clinical vignettes are included, designed to make the content accessible to readers who are primarily clinicians and also to demonstrate the practical, individual-level applicability of the subject matter for those who typically work at the public health, population, and/or policy level. Policy implications are discussed throughout, designed to make the content accessible to readers who work primarily at the public health or population level and also to demonstrate the policy relevance of the subject matter for those who typically work at the clinical level. All chapters include five to six key points that focus on the most important content, helping to both prepare the reader with a brief overview of the chapter's main points and reinforce the ""take-away"" messages afterward. In addition to the main body of the book, which focuses on selected individual social determinants of mental health, the volume includes an in-depth overview that summarizes the editors' and their colleagues' conceptualization, as well as a final chapter coauthored by Dr. David Satcher, 16th Surgeon General of the United States, that serves as a ""Call to Action,"" offering specific actions that can be taken by both clinicians and policymakers to address the social determinants of mental health. The editors have succeeded in the difficult task of balancing the individual/clinical/patient perspective and the population/public health/community point of view, while underscoring the need for both groups to work in a unified way to address the inequities in twenty-first century America. The Social Determinants of Mental Health gives readers the tools to understand and act to improve mental health and reduce risk for mental illnesses for individuals and communities. Students preparing for the Medical College Admission Test (MCAT) will also benefit from this book, as the MCAT in 2015 will test applicants' knowledge of social determinants of health. The social determinants of mental health are not distinct from the social determinants of physical health, although they deserve special emphasis given the prevalence and burden of poor mental health.",https://play.google.com/store/books/details?id=VHDBBwAAQBAJ&source=gbs_api,depressed
Implementing Mental Health Promotion,"Margaret M. Barry, Aleisha M. Clarke, Inge Petersen, Rachel Jenkins",Psychology,"This book offers a comprehensive overview of current research, policy, and practice developments in promoting mental health and well-being. It offers guidance on developing and delivering mental health promotion interventions across a variety of settings internationally. Chapters outline key mental health promotion concepts, implementation processes, and outcomes through empirical findings, practical advice based on successful evidence-based approaches, and templates for action. In addition, chapters answer key “how” questions on practical implementation as well as the “whys”, providing rationales for mental health promotion and identifying the key factors and underlying principles that make these interventions work. The book includes examples of evidence-based practice with 17 case studies of innovative interventions from different international settings. These case studies illustrate the practical aspects of intervention development and delivery and the realities of implementing policies and programes outside of controlled research conditions. Topics featured in this book include: · Interventions that promote gender equality. · Community empowerment models of mental health promotion. · Mental health promotion in the home for children and parents. · Promoting social and emotional learning in schools. · Addressing stress and promoting mentally healthy workplaces. · Mental health promotion within primary health care. · Re-orienting mental health services to mental health promotion for service users and caregivers. Implementing Mental Health Promotion, Second Edition, is a must-have resource for researchers, clinicians and related professionals, and policymakers as well as graduate students across such interrelated disciplines as health promotion, public health, child and school psychology, social work, clinical psychology, child and adolescent psychiatry, health psychology, educational policy and practice, school nursing, occupational therapy, school counseling, and family studies.",https://play.google.com/store/books/details?id=Lie7DwAAQBAJ&source=gbs_api,depressed
A Manifesto for Mental Health,Peter Kinderman,Psychology,"A Manifesto for Mental Health presents a radically new and distinctive outlook that critically examines the dominant ‘disease-model’ of mental health care. Incorporating the latest findings from both biological neuroscience and research into the social determinants of psychological problems, Peter Kinderman offers a contemporary, biopsychosocial, alternative. He warns that the way we care for people with mental health problems is creating a hidden human rights emergency and he proposes a new vision for the future of health organisations across the globe. The book highlights persuasive evidence that our mental health and wellbeing depend largely on the society in which we live, on the things happen to us, and on how we learn to make sense of and respond to those events. Kinderman proposes a rejection of invalid diagnostic labels, practical help rather than medication, and a recognition that distress is usually an understandable human response to life's challenges. Offering a serious critique of establishment thinking, A Manifesto for Mental Health provides a well-crafted demonstration of how, with scientific rigour and empathy, a revolution in mental health care is not only highly desirable, it is also entirely achievable.",https://play.google.com/store/books/details?id=lsi0DwAAQBAJ&source=gbs_api,depressed
The SAGE Handbook of Mental Health and Illness,"David Pilgrim, Anne Rogers, Bernice Pescosolido",Medical,"The SAGE Handbook of Mental Health and Illness is a landmark volume, which integrates the conceptual, empirical and evidence-based threads of mental health as an area of study, research and practice. It approaches mental health from two perspectives - firstly as a positive state of well-being and personal and social functioning and secondly as psychological difference or abnormality in its social context. Unique features include: - a broad and inclusive view of the field, providing depth and breadth for the reader - a team of international, multi-disciplinary editors and contributors, and - discussion of the many of the unresolved debates in the field about constructs and causes. The Handbook will be an invaluable resource for postgraduate students, academics and researchers studying mental health in disciplines such as psychiatry, clinical psychology, social work, occupational therapy, nursing and sociology.",https://play.google.com/store/books/details?id=gSp3rXNakxMC&source=gbs_api,depressed
Aging and Mental Health,"Daniel L. Segal, Sara Honn Qualls, Michael A. Smyer",Psychology,"Fully updated and revised, this new edition of a highly successful text provides students, clinicians, and academics with a thorough introduction to aging and mental health. The third edition of Aging and Mental Health is filled with new updates and features, including the impact of the DSM-5 on diagnosis and treatment of older adults. Like its predecessors, it uses case examples to introduce readers to the field of aging and mental health. It also provides both a synopsis of basic gerontology needed for clinical work with older adults and an analysis of several facets of aging well. Introductory chapters are followed by a series of chapters that describe the major theoretical models used to understand mental health and mental disorders among older adults. Following entries are devoted to the major forms of mental disorders in later life, with a focus on diagnosis, assessment, and treatment issues. Finally, the book focuses on the settings and contexts of professional mental health practice and on emerging policy issues that affect research and practice. This combination of theory and practice helps readers conceptualize mental health problems in later life and negotiate the complex decisions involved with the assessment and treatment of those problems. Features new material on important topics including positive mental health, hoarding disorder, chronic pain, housing, caregiving, and ethical and legal concerns Substantially revised and updated throughout, including reference to the DSM-5 Offers chapter-end recommendations of websites for further information Includes discussion questions and critical thinking questions at the end of each chapter Aging and Mental Health, Third Edition is an ideal text for advanced undergraduate and graduate students in psychology, for service providers in psychology, psychiatry, social work, and counseling, and for clinicians who are experienced mental health service providers but who have not had much experience working specifically with older adults and their families.",http://books.google.co.in/books?id=1xg-DwAAQBAJ&dq=mental+health&hl=&source=gbs_api,depressed
Current Concepts of Positive Mental Health,Marie Jahoda,Medical,No description,http://books.google.co.in/books?id=xeH-fNv1NF0C&dq=mental+health&hl=&source=gbs_api,depressed
College Psychiatry,"Michelle B. Riba, Meera Menon",Medical,"This book explores the practical strategies outlined by national thought leaders to improve access to mental health care in the practice of college psychiatry. It addresses the escalating need for mental health services on college and university campuses. Concise yet comprehensive, the book considers the college experience for the increasingly diverse student body, including non-traditional college students, first-generation college students, and students with a history of mental illness. Beginning with a discussion on the current national health trends in college mental health, chapter one explores the current epidemiology of student mental health problems, the systemic challenges in recruitment, and funding psychiatric services. Subsequent chapters then delve into the various systems and models of psychiatric care for college students, including differing parental involvement levels and the importance of collaborative care to short term management and referral of students at risk. Chapters five and six examine mental health considerations for LGBTQ, Black, Indigenous, and People of Color students. Further chapters analyze the critical nature of successfully navigating a leave of absence, as well as the consideration of threat assessment on college campuses. The book closes with a highly relevant evaluation of telemental health and telepsychiatry in the College Setting as it pertains to the ongoing barriers to care caused by COVID-19. Socially conscious and timely, College Psychiatry is an indispensable text for all mental health professionals.​",https://play.google.com/store/books/details?id=f6AwEAAAQBAJ&source=gbs_api,depressed
Youth Mental Health,"Peter J. Uhlhaas, Stephen J. Wood",Psychology,"Experts discuss the potential of early intervention to transform outcomes for people with mental disorders. Mental illness represents one of the largest disease burdens worldwide, yet treatments have been largely ineffective in improving the quality of life for millions of affected individuals—in part because approaches taken have focused on late-stage disorders in adulthood. This volume shifts the focus by placing the developmental stage of “youth” at the center of mental health. The contributors challenge current nosology, explore mechanisms that underlie the emergence of mental disorders, and propose a framework to guide early intervention. Offering recommendations for the future, the book holds that early intervention in youth has the potential to transform outcomes for people with mental disorders and to reconfigure the landscape of mental health. The contributors discuss epidemiology, classification, and diagnostic issues, including the benefits of clinical staging; the context for emerging mental disorders, including both biological and sociocultural processes; biological mechanisms underlying risk for psychopathology, including aspects of neural circuitry; and developing and implementing prevention and early intervention, including assessment and intervention modalities and knowledge translation in early treatment of schizophrenia. Contributors Nicholas B. Allen, Mario Alvarez-Jimenez, G. Paul Amminger, Shelli Avenevoli, Hannah F. Behrendt, Tolulope Bella-Awusah, Maximus Berger, Byron K. Y. Bitanihirwe, Drew Blasco, John D. Cahill, Joanne S. Carpenter, Andrew M. Chanen, Eric Y. H. Chen, Shane D. Colombo, Christoph U. Correll, Christopher G. Davey, Kim Q. Do, Damien A. Fair, Helen L. Fisher, Sophia Frangou, John Gleeson, Robert K. Heinssen, Ian B. Hickie, Frank Iorfino,Matcheri S. Keshavan, Kerstin Konrad, Phuong Thao D. Le, Francis Lee, Leslie D. Leve, Sarah A. Lieff, Cindy H. Liu, Beatriz Luna, Patrick D. McGorry, Urvakhsh Meherwan Mehta, Andreas Meyer-Lindenberg, Shreya V. Nallur, Cristopher Niell, Merete Nordentoft, Dost Öngür, George C. Patton, Tomáš Paus, Ulrich Reininghaus, Bernalyn Ruiz, Fred Sabb, Akira Sawa, Michael Schoenbaum, Gunter Schumann, Elizabeth M. Scott, Jai Shah, Vinod H. Srihari, Ezra Susser, John Torous, Peter J. Uhlhaas, Swapna K. Verma, T. Wilson Woo, Stephen J. Wood, Lawrence H. Yang, Alison R. Yung",http://books.google.co.in/books?id=oR_dDwAAQBAJ&dq=mental+health&hl=&source=gbs_api,depressed
Contemporary Topics in Women's Mental Health,"Dr Prabha S. Chandra, Dr Helen Herrman, Dr Jane E. Fisher, Dr Marianne Kastrup, Dr Unaiza Niaz, Dr Marta Rondon, Dr Ahmed Okasha",Medical,"Contemporary Topics in Women’s Mental Health: Global Perspectives in a Changing Society considers both the mental health and psychiatric disorders of women in relation to global social change. The book addresses the current themes in psychiatric disorders among women: reproduction and mental health, service delivery and ethics, impact of violence, disasters and migration, women’s mental health promotion and social policy, and concludes each section with a commentary discussing important themes emerging from each chapter. Psychiatrists, sociologists and students of women’s studies will all benefit from this textbook. With a Foreword by Sir Michael Marmot, Professor of Epidemiology and Public Health, University College London; Chair, Commission on Social Determinants of Health",https://play.google.com/store/books/details?id=P-XE-fQqP3sC&source=gbs_api,depressed
Destructive Trends in Mental Health,"Rogers H. Wright, Nicholas A. Cummings",Psychology,"This book takes as its inspiration the assumption that the atmosphere of intellectual openness, scientific inquiry, aspiration towards diversity, and freedom from political pressure that once flourished in the American Psychological Association has been eclipsed by an ""ultra-liberal agenda,"" in which voices of dissent, controversial points of view, and minority groups are intimidated, ridiculed and censored. Chapters written by established and revered practitioners explore these important issues within the contexts of social change, the ways in which mental health services providers view themselves and their products, and various economic factors that have affected healthcare cost structure and delivery. In short, this book is intended to help consumers, practitioners, and policy makers to become better educated about a variety of recent issues and trends that have significantly changed the mental health fields.",https://play.google.com/store/books/details?id=IFCB_BnydbwC&source=gbs_api,depressed
Community Mental Health in India,"BS Chavan, Nitin Gupta, Priti Arun, Ajeet Sidana, Sushrut Jadhav",Medical,No description,http://books.google.co.in/books?id=vgaZMQEACAAJ&dq=mental+health&hl=&source=gbs_api,depressed
The Introduction of a Mental Health Component Into Primary Health Care,World Health Organization,Medical,No description,http://books.google.co.in/books?id=XExrAAAAMAAJ&dq=mental+health&hl=&source=gbs_api,depressed
A Guide to Mental Health & Psychiatric Nursing,R Sreevani,Medical,No description,http://books.google.co.in/books?id=h1Ct0AEACAAJ&dq=mental+health&hl=&source=gbs_api,depressed
Psychiatric-mental Health Nursing,Sheila L. Videbeck,Medical,"This fully updated Fifth Edition explores the full psychiatric nursing curriculum, from theoretical foundations to application of interventions for commonly encountered disorders. The focus is on treatment modalities, nursing care, therapeutic communication, and self-awareness. The built-in study guide helps reinforce student learning and knowledge retention. Abundant features highlight the most pertinent learning concepts.",http://books.google.co.in/books?id=2rHoouxT514C&dq=mental+health&hl=&source=gbs_api,depressed
The Mental Hygiene Movement,Clifford Whittingham Beers,Medical,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.co.in/books?id=RtmRzwEACAAJ&dq=mental+health&hl=&source=gbs_api,depressed
Mental Health A Pocket Guide,Debra O'Kane,Medical,"- Increased consumer focus - New chapter on trauma-informed practice and care - New focus on loss and grief (including loss of employment, relationships, COVID and climate-related events) - Increased focus on self-care, self-awareness and support strategies - Greater emphasis on cultural awareness and working across the lifespan",https://play.google.com/store/books/details?id=3fo8EAAAQBAJ&source=gbs_api,depressed
Fundamentals of Mental Health Nursing,"Andrew Clifton, Steve Hemingway, Anne Felton",Medical,"Evidence-based introduction to the role of the mental health nurse, covering social, political, psychological, and biological aspects of mental health Fundamentals of Mental Health Nursing is an accessible, evidence-based introduction to the role of the mental health nurse, exploring the concepts of mental health and distress, ethics and accountability, key nursing models to be aware of, and the prevalence, predisposing factors, and features of the most commonly occurring mental health problems. This book places mental health conditions and interventions within a wider holistic context, situates recovery at the centre of mental health nursing practice, and links key concepts to mental health across the lifespan. This second edition contains revised content throughout as well as five new chapters on race, ethnicity, and diversity; sexuality, gender, and identity; global challenges for mental health; care planning in mental health; and transition to registration in leadership and resilience. Fundamentals of Mental Health Nursing includes: Different ways of defining mental health, and how different definitions can potentially ignore social factors that may influence health, such as poverty Social, political, and psychological factors that impact mental wellbeing and recovery, from cultural inequalities to poor housing, to trauma and cognitive behavior Biological theory related to mental health, covering brain structure, neurochemistry, medication, and more Today’s most common mental health problems including anxiety, mood disorders, psychosis, substance misuse, eating disorders, and organic disorders Fundamentals of Mental Health Nursing is a comprehensive and easy-to-understand reference on the subject for student nurses enrolled in pre-registration graduate nursing programmes, as well as early career nurses, nurses returning to practice, and healthcare assistants and assistant practitioners.",http://books.google.co.in/books?id=Q9lBEQAAQBAJ&dq=mental+health&hl=&source=gbs_api,depressed
The Little Book of Psychology,"Caroline Riggs, Emily Ralls",Psychology,"If you want to know your Freud from your Jung and your Milgram from your Maslow, strap in for this whirlwind tour of the highlights of psychology. Including accessible primers on: - The early thinkers who contributed to psychological ideas and the birth of modern psychology - Famous (and often controversial) experiments and their repercussions - What psychology can teach us about memory, language, conformity, reasoning and emotions - The ethics of psychological studies - Recent developments in the modern fields of evolutionary and cyber psychology. This illuminating little book will introduce you to the key thinkers, themes and theories you need to know to understand how the study of mind and behaviour has sculpted the world we live in and the way we think today.",https://play.google.com/store/books/details?id=v1iuEAAAQBAJ&source=gbs_api,depressed
The Psychology of Money,Morgan Housel,Business & Economics,"Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. Money—investing, personal finance, and business decisions—is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics.",https://play.google.com/store/books/details?id=TnrrDwAAQBAJ&source=gbs_api,depressed
The Everything Psychology Book,"Kendra Cherry, Paul G Mattiuzzi",Psychology,"There's nothing more fascinating-- or frightening-- than the ins and outs of the human mind. With this comprehensive guide, you'll achieve a better understanding of yourself-- and everyone else around you, too!",http://books.google.co.in/books?id=AjavDgAAQBAJ&dq=psychology&hl=&source=gbs_api,depressed
Introduction to Psychology,"Jennifer Walinga, Charles Stangor","Body, Mind & Spirit","This book is designed to help students organize their thinking about psychology at a conceptual level. The focus on behaviour and empiricism has produced a text that is better organized, has fewer chapters, and is somewhat shorter than many of the leading books. The beginning of each section includes learning objectives; throughout the body of each section are key terms in bold followed by their definitions in italics; key takeaways, and exercises and critical thinking activities end each section.",https://play.google.com/store/books/details?id=Tw2bEAAAQBAJ&source=gbs_api,depressed
PSYCHOLOGY,B. K. MISHRA,Psychology,"Though psychology is a comparatively ‘younger’ subject as compared to allied subjects like Philosophy, Anthropology and Sociology, recent years have witnessed remarkable strides in its study. Indeed, writings on the subject have been both prodigious and prolific because of the enormous interest evinced by those interested in psychology and because human behaviour—both complex and simple—is such a fascinating subject for study and research. This accessible and student-friendly text shows the ‘what,’ ‘why’ and ‘how’ of human behaviour patterns. The text emphasizes controlled and systematic studies to explain such behavioural aspects as sensing, perceiving, modifications of human behaviour, memorizing, the recollection of past events, and affecting processes. The text is interspersed with many examples to illustrate the concepts discussed. The concepts are well-supported with experimental as well as observational facts. What’s more, the book acquaints the reader with the recent advances in the field of psychology. KEY FEATURES  Liberal use of examples to give a clear idea of the concept discussed.  Step-by-step analysis of various psychological facts to facilitate better understanding of the subject.  Presentation of new advances and discoveries in the field of various psychological processes.  Glossary of terms besides chapter-end exercises and summaries. Primarily intended as a text for undergraduate students of psychology, the book can also be profitably used by postgraduate students and all those who have an abiding interest in the study of human behaviour.",http://books.google.co.in/books?id=PVQDAedulXcC&dq=psychology&hl=&source=gbs_api,depressed
PHYSIOLOGICAL PSYCHOLOGY,"DR Sherly Williams E, Dr Razeena Karim L",Psychology,"This text book, titled Physiological Psychology, covers the general area of ‘brain and behavior,’which is a modular subject in many university courses. The authors attempts to prepare students to understand physiological concepts in other specialized fields that they will encounter in their higher studies—it is suitable for undergraduate college students as well. The book is organised into four chapters. The first chapter covers the areas Brain and Behaviour, which includes techniques in neurophysiology, the neuron and its functions, Central Nervous System (CNS), Autonomous Nervous System (ANS), Sympathetic Nervous System (SNS), Para Sympathetic Nervous System (PSNS), neurotransmitters and drug action. The second chapter deals with biological basis of sensory processes, which includes visual, auditory, gustatory, olfactory and cutaneous systems. The third chapter contains physiological basis of sleep, eating, drinking and sexual behaviour while the last chapter covers the areas of emotion, learning and memory.",https://play.google.com/store/books/details?id=L-1dDwAAQBAJ&source=gbs_api,depressed
General Psychology,S K Mangal,Psychology,"This book provides valuable insight into the nature and the background of the subject of Psychology. Designed basically as a textbook for general psychology courses of Indian universities, it will also prove useful to those working in the disciplines of sociology, education, social work and social sciences. The subject matter in the text has been presented in such a way that t can be easily grasped by a beginner and appreciated by an advanced reader.",http://books.google.co.in/books?id=MHPS5CGoA70C&dq=psychology&hl=&source=gbs_api,depressed
Psychology,"Philip Banyard, Nicky Hayes",Psychology,"In this book we have aimed to give you, the reader, an introduction to some of the basic theoretical concepts in psychology and to show how they have been applied in a range of professional areas. Psychology is a subject that most of us are interested in, and in this text we have tried to show what a versatile discipline psychology is and what an exciting subject it can be to study. The book is designed to show the connections between the various areas of applied psychology. For the most part, applied psychologists tend to produce specialist texts which are relevant to their own area of work. But much of the research in work psychology, for example, is rele vant to the applied areas of sport or health or education, and research into sport psychology has messages for health psychology too. What we is to draw out the relationships between the have tried to do in this text various areas and show how the same basic concepts may manifest themselves in different applied fields.",https://play.google.com/store/books/details?id=NikDCAAAQBAJ&source=gbs_api,depressed
